ID,CorrectedLongitude,CorrectedLatitude
260,11.5546877504,48.1233878327
261,11.5546877504,48.1233878327
262,11.5547761,48.1234603
263,11.5546877504,48.1233878327
264,11.5547692926,48.1235290275
265,11.5547650683,48.1234512515
266,11.5546877504,48.1233878327
267,11.5546926295,48.1234648186
268,11.5546926295,48.1234648186
269,11.5548459556,48.1235932363
270,11.5546926295,48.1234648186
271,11.5547981324,48.1233347864
272,11.5549193546,48.1235785129
273,11.5551521,48.1237678
274,11.5553365275,48.1237821461
275,11.5554903666,48.1239099488
276,11.5557211252,48.1241016528
277,11.55595191,48.1242933254
278,11.556031639,48.1245975031
279,11.5563386832,48.1248538614
280,11.5566457577,48.1251101887
281,11.5570288859,48.1254314384
282,11.5573370817,48.12568641
283,11.5574902142,48.1258150456
284,11.5580858222,48.1259163324
285,11.5586616946,48.1259451557
286,11.5592426273,48.1259719799
287,11.5597561,48.1257205
288,11.560226365,48.1255922648
289,11.5607807531,48.1254543813
290,11.561298,48.125316296
291,11.5616806734,48.1251998682
292,11.5614127194,48.1247817843
293,11.5611642507,48.1244691957
294,11.5610511129,48.1241466184
295,11.5608391155,48.1240916222
296,11.5606234537,48.1238830796
297,11.5603871313,48.1234293281
298,11.5600551376,48.1229886448
299,11.5595038687,48.1228860547
300,11.559220531,48.1225706483
301,11.5588005544,48.1222993646
302,11.5584647396,48.1220820437
303,11.5582968322,48.1219733832
304,11.5582941127,48.1220982343
305,11.558697404,48.1221390886
306,11.5590527893,48.1224617745
307,11.5586805203,48.1227048643
308,11.5586937104,48.1229832685
309,11.5582527171,48.1231187984
310,11.5580789541,48.1233180125
311,11.5576379332,48.1235535979
312,11.5572791257,48.1236406952
313,11.5567709262,48.1237701663
314,11.5564911985,48.1234555829
315,11.5563706949,48.1231085026
316,11.556282486,48.1231556108
317,11.5559254422,48.1230667009
318,11.5553076114,48.1231819283
319,11.5549519466,48.123462619
320,11.5547981324,48.1233347864
321,11.5547981324,48.1233347864
322,11.5546877504,48.1233878327
323,11.5547981324,48.1233347864
324,11.5547981324,48.1233347864
325,11.5547981324,48.1233347864
326,11.5548750478,48.1233986927
327,11.554865021,48.1234145502
328,11.554865021,48.1234145502
329,11.5547650683,48.1234512515
330,11.554865021,48.1234145502
331,11.5547981324,48.1233347864
332,11.5547981324,48.1233347864
333,11.5547981324,48.1233347864
334,11.5547981324,48.1233347864
335,11.5547981324,48.1233347864
336,11.5549536071,48.1233681563
337,11.5549536071,48.1233681563
338,11.5547981324,48.1233347864
339,11.5547981324,48.1233347864
340,11.5547981324,48.1233347864
341,11.5547981324,48.1233347864
342,11.5546443016,48.1232069736
343,11.554721217,48.12327088
344,11.554721217,48.12327088
345,11.5549519466,48.123462619
346,11.5550455,48.1234914
347,11.5550455,48.1234914
348,11.5551057688,48.123590442
349,11.5552191103,48.1232284853
350,11.5552191103,48.1232284853
351,11.5551306092,48.1232750423
352,11.5551306092,48.1232750423
353,11.5552191103,48.1232284853
354,11.5550421081,48.1233215993
355,11.5551306092,48.1232750423
356,11.5550421081,48.1233215993
357,11.5550421081,48.1233215993
358,11.5550421081,48.1233215993
359,11.5546443016,48.1232069736
360,11.5546443016,48.1232069736
361,11.5549536071,48.1233681563
362,11.5550455,48.1234914
363,11.5550455,48.1234914
364,11.5550455,48.1234914
365,11.5549519466,48.123462619
366,11.5549519466,48.123462619
367,11.5550455,48.1234914
368,11.5549536071,48.1233681563
369,11.5549536071,48.1233681563
370,11.5549536071,48.1233681563
371,11.5549536071,48.1233681563
372,11.5547981324,48.1233347864
373,11.5547981324,48.1233347864
374,11.5547981324,48.1233347864
375,11.5550421081,48.1233215993
376,11.5549536071,48.1233681563
377,11.5547981324,48.1233347864
378,11.5547981324,48.1233347864
379,11.5547981324,48.1233347864
380,11.554865021,48.1234145502
381,11.5549536071,48.1233681563
382,11.5547981324,48.1233347864
383,11.5547981324,48.1233347864
384,11.554721217,48.12327088
385,11.554721217,48.12327088
386,11.5549536071,48.1233681563
387,11.5547981324,48.1233347864
388,11.554721217,48.12327088
389,11.554721217,48.12327088
390,11.554721217,48.12327088
391,11.5547981324,48.1233347864
392,11.5547981324,48.1233347864
393,11.554721217,48.12327088
394,11.5547307256,48.12311835
395,11.5548166088,48.1230600857
396,11.5547307256,48.12311835
397,11.5547307256,48.12311835
398,11.5550421081,48.1233215993
399,11.5548166088,48.1230600857
400,11.554721217,48.12327088
401,11.5547981324,48.1233347864
402,11.5549536071,48.1233681563
403,11.5550421081,48.1233215993
404,11.5550421081,48.1233215993
405,11.5550421081,48.1233215993
406,11.5549536071,48.1233681563
407,11.5550455,48.1234914
408,11.5550455,48.1234914
409,11.5550455,48.1234914
410,11.5550455,48.1234914
411,11.5549536071,48.1233681563
412,11.5550421081,48.1233215993
413,11.5550421081,48.1233215993
414,11.5549536071,48.1233681563
415,11.554721217,48.12327088
416,11.5551306092,48.1232750423
417,11.5551306092,48.1232750423
418,11.5551306092,48.1232750423
419,11.5551306092,48.1232750423
420,11.5551306092,48.1232750423
421,11.5551306092,48.1232750423
422,11.5551306092,48.1232750423
423,11.5551306092,48.1232750423
424,11.5551306092,48.1232750423
425,11.5551306092,48.1232750423
426,11.5551306092,48.1232750423
427,11.5551306092,48.1232750423
428,11.5551306092,48.1232750423
429,11.5551306092,48.1232750423
430,11.5551306092,48.1232750423
431,11.5551306092,48.1232750423
432,11.5556631,48.1283694
433,11.555750008,48.1290274695
434,11.5559136832,48.1302244583
435,11.5560838454,48.1317290023
436,11.5557988,48.1331556991
437,11.5559172104,48.1344053521
438,11.5557086374,48.1355322256
439,11.5558576324,48.1360950642
440,11.5558602053,48.1361950311
441,11.5558819978,48.1368840272
442,11.5559140133,48.1378102699
443,11.5559485015,48.1387816335
444,11.5570763495,48.1388903144
445,11.5573927692,48.1389697745
446,11.5575992995,48.139103864
447,11.5576005286,48.1392467352
448,11.5575092932,48.1392721662
449,11.5573011631,48.1392300753
450,11.5573011631,48.1392300753
451,11.5573011631,48.1392300753
452,11.5572728019,48.1391591452
453,11.5570763495,48.1388903144
454,11.5568120349,48.1391041958
455,11.5568728346,48.1391540301
456,11.5568728346,48.1391540301
457,11.5568728346,48.1391540301
458,11.5568728346,48.1391540301
459,11.5568728346,48.1391540301
460,11.5568728346,48.1391540301
461,11.5568728346,48.1391540301
462,11.5571209966,48.1397482311
463,11.5571011673,48.1392287799
464,11.5575008393,48.1392388579
465,11.5570011694,48.1392281322
466,11.5554244426,48.13929849
467,11.5543107315,48.1391992595
468,11.5528119219,48.139139988
469,11.5524578,48.139199
470,11.5524578,48.139199
471,11.5520099438,48.1391096124
472,11.5529118321,48.1391442236
473,11.5547572465,48.1391380254
474,11.5550961,48.1393029
475,11.5550355,48.1391955
476,11.5549104577,48.139217382
477,11.5548768181,48.1394848802
478,11.5548118,48.1396162
479,11.5548223838,48.1399144618
480,11.5548223838,48.1399144618
481,11.5548223838,48.1399144618
482,11.5548223838,48.1399144618
483,11.5548965,48.1396156
484,11.5548166,48.1397516
485,11.5549964809,48.139617554
486,11.5559462,48.1387255
487,11.5559140133,48.1378102699
488,11.5558921796,48.1371838543
489,11.5563096984,48.1367110364
490,11.5561418028,48.136381953
491,11.5557933996,48.1348558928
492,11.5559079173,48.1336054121
493,11.5559073671,48.1328054348
494,11.5559073671,48.1328054348
495,11.5555066254,48.1322135
496,11.555784138,48.1307969316
497,11.5557248931,48.1299405534
498,11.5557539,48.1286059
499,11.5559854603,48.1285281495
500,11.5559854603,48.1285281495
501,11.5569262251,48.1276929741
502,11.5578484,48.1266433
503,11.5580137,48.1262689
504,11.5579800655,48.1262383885
505,11.5572426017,48.1253624764
506,11.557165573,48.1252987067
507,11.556262141,48.1247895085
508,11.5555291336,48.1241789461
509,11.5549519466,48.123462619
510,11.5549536071,48.1233681563
511,11.5549536071,48.1233681563
512,11.5547981324,48.1233347864
513,11.5547981324,48.1233347864
514,11.5547981324,48.1233347864
515,11.5547981324,48.1233347864
516,11.5547981324,48.1233347864
517,11.5547981324,48.1233347864
518,11.554721217,48.12327088
519,11.554721217,48.12327088
520,11.554721217,48.12327088
521,11.554721217,48.12327088
522,11.554721217,48.12327088
523,11.554721217,48.12327088
