ID,CorrectedLongitude,CorrectedLatitude,NearestLinkIdentifier,NearestLinkClass
213,11.5623869715,48.148174315,113849539,cycleway
214,11.5622264149,48.1479208952,113849539,cycleway
215,11.5622585262,48.1479715792,113849539,cycleway
216,11.5622424706,48.1479462372,113849539,cycleway
217,11.5561462681,48.1431368455,57357669,footway
218,11.5561160231,48.1424930756,98653127,footway
219,11.5559017819,48.1421247245,90394174,tertiary
220,11.5559017819,48.1421247245,90394174,tertiary
221,11.5559017819,48.1421247245,90394174,tertiary
222,11.5559017819,48.1421247245,90394174,tertiary
223,11.5559017819,48.1421247245,90394174,tertiary
224,11.5555062522,48.1317135002,551702991,secondary
225,11.55567374,48.1308742551,881723562,footway
226,11.5554962039,48.130027639,142143440,residential
227,11.5557803006,48.1296267043,551702990,secondary
228,11.5561021,48.1287871,237105274,footway
229,11.5557539,48.1286059,1215974210,secondary
230,11.5561857804,48.1281586941,47977723,secondary
231,11.5569713644,48.1274674187,168719672,secondary
232,11.5580160171,48.1264859979,173041358,secondary
233,11.5581017356,48.1265210553,251671203,footway
234,11.5579282197,48.1261913566,868048685,footway
235,11.5566765353,48.1251357375,685739500,footway
236,11.5554143362,48.1240823993,1034229472,footway
237,11.5547981324,48.1233347864,1034229474,footway
238,11.5547750578,48.1233156145,1034229474,footway
239,11.5547750578,48.1233156145,1034229474,footway
240,11.5547981324,48.1233347864,1034229474,footway
241,11.554821207,48.1233539583,1034229474,footway
242,11.5547341412,48.123425884,1133381663,tertiary
243,11.5547109458,48.1234068583,1133381663,tertiary
244,11.554664555,48.1233688071,1133381663,tertiary
245,11.5547079621,48.1234776604,1034229472,footway
246,11.5547981324,48.1233347864,1034229474,footway
247,11.5549890075,48.1233495335,1011314836,path
248,11.5526182853,48.1211910792,65686366,service
249,11.5547747383,48.123094625,852037200,service
250,11.5547747383,48.123094625,852037200,service
251,11.5550421081,48.1233215993,1011314836,path
252,11.5547981324,48.1233347864,1034229474,footway
253,11.5547519831,48.1232964425,1034229474,footway
254,11.5547519831,48.1232964425,1034229474,footway
255,11.5547750578,48.1233156145,1034229474,footway
256,11.5547750578,48.1233156145,1034229474,footway
257,11.5547981324,48.1233347864,1034229474,footway
258,11.5547981324,48.1233347864,1034229474,footway
259,11.5547981324,48.1233347864,1034229474,footway
260,11.5547109458,48.1234068583,1133381663,tertiary
261,11.5547109458,48.1234068583,1133381663,tertiary
262,11.5547761,48.1234603,1011314836,path
263,11.5547109458,48.1234068583,1133381663,tertiary
264,11.5547769589,48.1235354483,1034229472,footway
265,11.5547573365,48.1234449096,1133381663,tertiary
266,11.5547109458,48.1234068583,1133381663,tertiary
267,11.5546849632,48.1234583977,1034229472,footway
268,11.5547079621,48.1234776604,1034229472,footway
269,11.5548229567,48.1235739736,1034229472,footway
270,11.5547079621,48.1234776604,1034229472,footway
271,11.554821207,48.1233539583,1034229474,footway
272,11.5549193546,48.1235785129,1133381663,tertiary
273,11.5551288255,48.1237488713,1133381663,tertiary
274,11.5553288355,48.1237757559,1034229474,footway
275,11.5554903666,48.1239099488,1034229474,footway
276,11.5557211252,48.1241016528,1034229474,footway
277,11.5559288301,48.1242741599,1034229474,footway
278,11.556054816,48.124616551,685739500,footway
279,11.5563769542,48.1248860379,685739500,footway
280,11.5566765353,48.1251357375,685739500,footway
281,11.5570027309,48.1254630204,620953337,service
282,11.5573215925,48.1256737576,685739500,footway
283,11.5574597718,48.1257890983,685739500,footway
284,11.5580658399,48.1259154892,858009168,path
285,11.5586889106,48.1259328885,330960243,cycleway
286,11.5592898664,48.1259556091,391200993,footway
287,11.5597825691,48.1257132822,621817220,secondary
288,11.5602456604,48.1255870031,621817220,secondary
289,11.5607610037,48.1254575375,622091752,secondary
290,11.5613555911,48.1252994653,148857890,secondary
291,11.5616711158,48.1252028098,148857890,secondary
292,11.5614257263,48.1247969771,126233069,cycleway
293,11.5611642507,48.1244691957,126233069,cycleway
294,11.5610575906,48.1241542367,33487045,residential
295,11.5608319267,48.1240846708,126233069,cycleway
296,11.5605946988,48.1238552739,126233069,cycleway
297,11.5603575487,48.1234024046,263733111,cycleway
298,11.560064313,48.1229846684,277029388,footway
299,11.5595429991,48.1229171805,126233069,cycleway
300,11.5591875499,48.1225480276,204589463,residential
301,11.5588089498,48.1223047976,204589463,residential
302,11.5584311581,48.1220603116,204589463,residential
303,11.5582800414,48.1219625171,204589463,residential
304,11.5582605338,48.1220764981,263733114,cycleway
305,11.558697404,48.1221390886,263733117,cycleway
306,11.5590612119,48.1224671654,204589463,residential
307,11.5587153522,48.1226851986,915699071,service
308,11.5586674409,48.1229977569,4645450,residential
309,11.5582601854,48.1231254486,128033533,service
310,11.5580613132,48.1233274358,4645450,residential
311,11.5576379332,48.1235535979,4645450,residential
312,11.5572636108,48.1236280742,128033535,service
313,11.5567396522,48.1237452276,1011314838,path
314,11.556521636,48.1234815358,128033538,service
315,11.5563706949,48.1231085026,128033540,service
316,11.5562913069,48.1231509,128033540,service
317,11.5558873816,48.1230342757,1011314838,path
318,11.5552810611,48.1231958954,1011314836,path
319,11.5549596363,48.1234690119,1034229474,footway
320,11.5548442816,48.1233731302,1034229474,footway
321,11.554821207,48.1233539583,1034229474,footway
322,11.5547341412,48.123425884,1133381663,tertiary
323,11.5547981324,48.1233347864,1034229474,footway
324,11.5547981324,48.1233347864,1034229474,footway
325,11.5548442816,48.1233731302,1034229474,footway
326,11.5548442816,48.1233731302,1034229474,footway
327,11.5548294526,48.1234328501,1011314836,path
328,11.5548294526,48.1234328501,1011314836,path
329,11.5547573365,48.1234449096,1133381663,tertiary
330,11.5548442816,48.1233731302,1034229474,footway
331,11.554821207,48.1233539583,1034229474,footway
332,11.554821207,48.1233539583,1034229474,footway
333,11.5547981324,48.1233347864,1034229474,footway
334,11.5547981324,48.1233347864,1034229474,footway
335,11.5547981324,48.1233347864,1034229474,footway
336,11.554821207,48.1233539583,1034229474,footway
337,11.5549624572,48.1233635006,1011314836,path
338,11.5547981324,48.1233347864,1034229474,footway
339,11.5547981324,48.1233347864,1034229474,footway
340,11.5547981324,48.1233347864,1034229474,footway
341,11.5547981324,48.1233347864,1034229474,footway
342,11.5546596847,48.1232197549,1034229474,footway
343,11.5547289085,48.1232772706,1034229474,footway
344,11.5547519831,48.1232964425,1034229474,footway
345,11.5549365672,48.1234498333,1034229474,footway
346,11.5550455,48.1234914,1158963882,service
347,11.5550455,48.1234914,1158963882,service
348,11.5551442286,48.1236223927,1034229474,footway
349,11.5552279604,48.1232238296,1011314836,path
350,11.5552014101,48.1232377967,1011314836,path
351,11.5551217591,48.123279698,1011314836,path
352,11.5551217591,48.123279698,1011314836,path
353,11.5552014101,48.1232377967,1011314836,path
354,11.5550952088,48.1232936651,1011314836,path
355,11.5550952088,48.1232936651,1011314836,path
356,11.5550686585,48.1233076322,1011314836,path
357,11.5550421081,48.1233215993,1011314836,path
358,11.5550421081,48.1233215993,1011314836,path
359,11.5546366101,48.123200583,1034229474,footway
360,11.5546596847,48.1232197549,1034229474,footway
361,11.5549624572,48.1233635006,1011314836,path
362,11.5550455,48.1234914,1158963882,service
363,11.5550455,48.1234914,1158963882,service
364,11.5549890075,48.1233495335,1011314836,path
365,11.5549365672,48.1234498333,1034229474,footway
366,11.5549596363,48.1234690119,1034229474,footway
367,11.5550455,48.1234914,1158963882,service
368,11.5549890075,48.1233495335,1011314836,path
369,11.5549624572,48.1233635006,1011314836,path
370,11.5549624572,48.1233635006,1011314836,path
371,11.5549624572,48.1233635006,1011314836,path
372,11.5547981324,48.1233347864,1034229474,footway
373,11.5547981324,48.1233347864,1034229474,footway
374,11.5547981324,48.1233347864,1034229474,footway
375,11.5550155578,48.1233355664,1011314836,path
376,11.5549359068,48.1233774677,1011314836,path
377,11.554821207,48.1233539583,1034229474,footway
378,11.5547981324,48.1233347864,1034229474,footway
379,11.5547750578,48.1233156145,1034229474,footway
380,11.5548442816,48.1233731302,1034229474,footway
381,11.5549093565,48.1233914349,1011314836,path
382,11.5547750578,48.1233156145,1034229474,footway
383,11.5547750578,48.1233156145,1034229474,footway
384,11.5546827593,48.1232389268,1034229474,footway
385,11.5547058339,48.1232580987,1034229474,footway
386,11.5549624572,48.1233635006,1011314836,path
387,11.5547750578,48.1233156145,1034229474,footway
388,11.5546827593,48.1232389268,1034229474,footway
389,11.5547289085,48.1232772706,1034229474,footway
390,11.5547058339,48.1232580987,1034229474,footway
391,11.5547750578,48.1233156145,1034229474,footway
392,11.5547981324,48.1233347864,1034229474,footway
393,11.5547058339,48.1232580987,1034229474,footway
394,11.5547747383,48.123094625,852037200,service
395,11.5548104179,48.1230679388,494429776,service
396,11.5547747383,48.123094625,852037200,service
397,11.5547747383,48.123094625,852037200,service
398,11.5550686585,48.1233076322,1011314836,path
399,11.5548104179,48.1230679388,494429776,service
400,11.5547289085,48.1232772706,1034229474,footway
401,11.5547750578,48.1233156145,1034229474,footway
402,11.554821207,48.1233539583,1034229474,footway
403,11.5550686585,48.1233076322,1011314836,path
404,11.5550686585,48.1233076322,1011314836,path
405,11.5550421081,48.1233215993,1011314836,path
406,11.5549890075,48.1233495335,1011314836,path
407,11.5550455,48.1234914,1158963882,service
408,11.5550455,48.1234914,1158963882,service
409,11.5550455,48.1234914,1158963882,service
410,11.5550455,48.1234914,1158963882,service
411,11.5549624572,48.1233635006,1011314836,path
412,11.5550421081,48.1233215993,1011314836,path
413,11.5550421081,48.1233215993,1011314836,path
414,11.5549624572,48.1233635006,1011314836,path
415,11.5547289085,48.1232772706,1034229474,footway
416,11.5550952088,48.1232936651,1011314836,path
417,11.5551217591,48.123279698,1011314836,path
418,11.5551217591,48.123279698,1011314836,path
419,11.5551217591,48.123279698,1011314836,path
420,11.5551217591,48.123279698,1011314836,path
421,11.5551217591,48.123279698,1011314836,path
422,11.5551217591,48.123279698,1011314836,path
423,11.5551217591,48.123279698,1011314836,path
424,11.5551217591,48.123279698,1011314836,path
425,11.5551217591,48.123279698,1011314836,path
426,11.5551217591,48.123279698,1011314836,path
427,11.5551217591,48.123279698,1011314836,path
428,11.5551217591,48.123279698,1011314836,path
429,11.5551217591,48.123279698,1011314836,path
430,11.5551217591,48.123279698,1011314836,path
431,11.5551217591,48.123279698,1011314836,path
432,11.5556893383,48.1283825264,23587251,cycleway
433,11.5557515226,48.1290574313,551702990,secondary
434,11.5559135517,48.130254458,881723563,footway
435,11.5560844177,48.1317589968,4002315,secondary
436,11.5557988,48.1331556991,115013501,secondary
437,11.5559172104,48.1344053521,881723563,footway
438,11.5558381728,48.1356455082,30195491,secondary
439,11.5558584043,48.1361250543,30195491,secondary
440,11.5558591762,48.1361550443,30195491,secondary
441,11.5558823406,48.1368940213,37665691,secondary
442,11.5559132945,48.1377902828,384535860,secondary
443,11.5559497304,48.1388116083,357204337,secondary
444,11.5570682863,48.138892348,379808547,footway
445,11.5573927692,48.1389697745,27143964,residential
446,11.5576392994,48.1391039568,211464649,footway
447,11.5576603421,48.1392514616,382744649,tertiary
448,11.5575292927,48.1392723041,107975492,cycleway
449,11.5573311625,48.1392302697,382744649,tertiary
450,11.5572711638,48.139229881,382744649,tertiary
451,11.5572711638,48.139229881,382744649,tertiary
452,11.5572411644,48.1392296867,382744649,tertiary
453,11.5570682863,48.138892348,379808547,footway
454,11.5567920349,48.1391042229,62220615,cycleway
455,11.5568228387,48.1391533907,96951695,tertiary
456,11.5568228387,48.1391533907,96951695,tertiary
457,11.5568228387,48.1391533907,96951695,tertiary
458,11.5568228387,48.1391533907,96951695,tertiary
459,11.5568228387,48.1391533907,96951695,tertiary
460,11.5568228387,48.1391533907,96951695,tertiary
461,11.5568228387,48.1391533907,96951695,tertiary
462,11.5571509186,48.1397460693,130587152,footway
463,11.5570611682,48.1392285208,382744649,tertiary
464,11.5574509947,48.1392349192,382744649,tertiary
465,11.5570611682,48.1392285208,382744649,tertiary
466,11.5554252912,48.139278508,474675860,steps
467,11.5543507127,48.1392004855,107975492,cycleway
468,11.5527919398,48.1391391408,107975492,cycleway
469,11.5525521552,48.1391289754,107975492,cycleway
470,11.5524578,48.139199,372316490,footway
471,11.5520099438,48.1391096124,1151397409,cycleway
472,11.5529418052,48.1391454942,107975492,cycleway
473,11.5547772364,48.1391386608,37760229,tertiary
474,11.5550707427,48.1393174,281918107,footway
475,11.5550770849,48.139148192,37760229,tertiary
476,11.5549204532,48.1392176809,107975492,cycleway
477,11.5548701163,48.1394923022,366380118,footway
478,11.5548417992,48.1396159875,367009177,footway
479,11.5547631128,48.1399007338,153149960,footway
480,11.5547631128,48.1399007338,153149960,footway
481,11.5548227354,48.1399244557,153149963,footway
482,11.5548227354,48.1399244557,153149963,footway
483,11.5548299054,48.1395368341,366380118,footway
484,11.5547873892,48.1397584358,153149962,footway
485,11.5549564885,48.1396167724,367009178,footway
486,11.5559472725,48.1387516587,357204337,secondary
487,11.5559132945,48.1377902828,384535860,secondary
488,11.5558904851,48.137133883,37665691,secondary
489,11.5562996986,48.1367110928,382950244,service
490,11.5561518026,48.1363818777,991884184,residential
491,11.5557929198,48.1348158957,175624087,secondary
492,11.5559082378,48.1336254095,881723563,footway
493,11.5559073103,48.1327854349,881723563,footway
494,11.5557980193,48.1327788996,551702994,secondary
495,11.5555066104,48.1321935,551702991,secondary
496,11.5557845911,48.130766935,551702989,secondary
497,11.5557348701,48.1299398753,306045495,footway
498,11.5557650012,48.1285824154,4080107,secondary
499,11.5559854603,48.1285281495,23587251,cycleway
500,11.5560124818,48.1285411817,23587251,cycleway
501,11.5568507815,48.1276567845,243493305,footway
502,11.5578484,48.1266433,622091744,secondary
503,11.5580387041,48.1262523231,1185495001,footway
504,11.557972659,48.1262316697,868048685,footway
505,11.5572503046,48.1253688534,636632942,footway
506,11.5572040874,48.1253305916,636632942,footway
507,11.5562391784,48.1247702026,685739500,footway
508,11.5555521439,48.1241981951,1034229472,footway
509,11.5549596363,48.1234690119,1034229474,footway
510,11.5549359068,48.1233774677,1011314836,path
511,11.5549624572,48.1233635006,1011314836,path
512,11.5547981324,48.1233347864,1034229474,footway
513,11.5547750578,48.1233156145,1034229474,footway
514,11.5547750578,48.1233156145,1034229474,footway
515,11.5547750578,48.1233156145,1034229474,footway
